Title,ISBN,Language,Publication_year,First_name,Last_name,Birth_date,Birth_city,Name
Eight Crazy Nights (Adam Sandler s Eight Crazy Nights),870560200-9,English,2018,Gregorius,McPhater,1976-12-04,Pleasantville,Apogeo
Gone Fishin ,137066182-7,Georgian,2012,Ange,Symcox,1977-07-01,Paris,Apogeo
Gunfighter The,386397507-3,Albanian,2013,Hirsch,Legging,1961-12-19,Oxford,Apogeo
Gunfighter The,386397507-3,Albanian,2013,Merna,Lambal,1969-09-30,London,Apogeo
Gunfighter The,386397507-3,Albanian,2013,Hortense,Whatson,1978-08-25,Washington,Apogeo
Gunfighter The,386397507-3,Albanian,2013,Cal,Inkin,1969-11-22,Oxford,Apogeo
Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard),560797299-2,English,2017,Reta,Philippsohn,1966-10-08,Washington,Apogeo
Andrei Rublev (Andrey Rublyov),368990830-2,English,2017,Jasen,Itter,1967-12-24,Madison,Apogeo
Andrei Rublev (Andrey Rublyov),368990830-2,English,2017,Boycie,Shorey,1989-11-20,Amsterdam,Apogeo
Andrei Rublev (Andrey Rublyov),368990830-2,English,2017,Cristian,Pes,1981-09-10,New York,Apogeo
Andrei Rublev (Andrey Rublyov),368990830-2,English,2017,Bruno,Goodsall,1963-04-27,London,Apogeo
Fear,712463375-3,English,2012,Yancey,Sacher,1961-04-17,Lawrence,Apogeo
Fear,712463375-3,English,2012,Kerri,Adiscot,1980-06-28,Cumberland,Apogeo
Slaves to the Underground,536751983-0,French,2014,Hortense,Whatson,1978-08-25,Washington,Apogeo
Slaves to the Underground,536751983-0,French,2014,Bruno,Goodsall,1963-04-27,London,Apogeo
Slaves to the Underground,536751983-0,French,2014,Brynn,Semor,1986-05-09,Oslo,Apogeo
Gasoline (Benzina),175205668-X,English,2019,Rubie,Delgua,1970-06-03,Los Angeles,Apogeo
Gasoline (Benzina),175205668-X,English,2019,Perrine,Blagden,1984-01-04,Washington,Apogeo
Gasoline (Benzina),175205668-X,English,2019,Maible,Twidale,1963-01-29,Bloomington,Apogeo
HTM & CSS,607745120-7,Italian,2018,Sansone,Jansen,1968-05-12,Lawrence,Apogeo
HTM & CSS,607745120-7,Italian,2018,Ursula,Lockitt,1967-12-14,Liverpool,Apogeo
State of Siege (État de siège),226372696-9,Hindi,2013,Sella,Marriage,1988-12-01,Madison,Apogeo
State of Siege (État de siège),226372696-9,Hindi,2013,Sandro,Wilcher,1990-09-25,Nashville,Apogeo
State of Siege (État de siège),226372696-9,Hindi,2013,Kerri,Adiscot,1980-06-28,Cumberland,Apogeo
State of Siege (État de siège),226372696-9,Hindi,2013,Adamo,Ligoe,1971-03-26,New York,Apogeo
State of Siege (État de siège),226372696-9,Hindi,2013,Margaretha,Aysik,1973-03-18,Washington,Apogeo
Beefcake,457456450-4,Aymara,2016,Margaretta,Pardal,1970-03-08,New York,Apogeo
Beefcake,457456450-4,Aymara,2016,Giffer,Leisman,1959-05-25,Los Angeles,Apogeo
Beefcake,457456450-4,Aymara,2016,Isacco,McSherry,1976-04-17,Edimburg,Apogeo
Beefcake,457456450-4,Aymara,2016,Zilvia,Silver,1958-04-25,Nashville,Apogeo
Beefcake,457456450-4,Aymara,2016,Brynn,Semor,1986-05-09,Oslo,Apogeo
Oliver Twist,369048652-1,Guaraní,2020,Isacco,McSherry,1976-04-17,Edimburg,Apogeo
Oliver Twist,369048652-1,Guaraní,2020,Lu,Jenne,1977-01-11,Seul,Apogeo
Absolute Power,946684198-X,Czech,2016,Bryanty,Froud,1970-10-30,London,Apogeo
Absolute Power,946684198-X,Czech,2016,Harlene,Tartt,1984-09-20,New York,Apogeo
Absolute Power,946684198-X,Czech,2016,Barr,Labbet,1967-07-06,Lawrence,Apogeo
Avengers The,843331705-9,Bengali,2012,Abey,Crowest,1965-07-20,New York,Apogeo
Avengers The,843331705-9,Bengali,2012,Breanne,Weben,1989-11-13,London,Apogeo
Avengers The,843331705-9,Bengali,2012,Sandro,Wilcher,1990-09-25,Nashville,Apogeo
Great Expectations,436501926-0,Catalan,2013,Eva,Elcum,1956-02-20,Pleasantville,Apogeo
Great Expectations,436501926-0,Catalan,2013,Perrine,Blagden,1984-01-04,Washington,Apogeo
Saboteur,167947701-3,English,2014,Mirelle,Hehnke,1968-06-25,Los Angeles,Apogeo
Saboteur,167947701-3,English,2014,Gil,Lettington,1974-08-11,Los Angeles,Apogeo
Saboteur,167947701-3,English,2014,Corri,Gavrieli,1974-06-30,London,Apogeo
From Above,872379238-8,English,2018,Ramez,Elmasri,1970-02-16,Oxford,Apogeo
From Above,872379238-8,English,2018,Sim,Frondt,1967-05-20,Bloomington,Apogeo
From Above,872379238-8,English,2018,Ileane,Spurriar,1969-09-03,Los Angeles,Apogeo
From Above,872379238-8,English,2018,Sella,Marriage,1988-12-01,Madison,Apogeo
From Above,872379238-8,English,2018,Leroy,Vasiltsov,1976-10-13,San Diego,Apogeo
From Above,872379238-8,English,2018,Beverlee,Jepensen,1976-12-17,Cumberland,Apogeo
From Above,872379238-8,English,2018,Jodee,Westwick,1968-01-23,Liverpool,Apogeo
Strangers on a Train,565659819-5,Dutch,2014,Fanchon,Bish,1987-08-27,New York,Apogeo
Strangers on a Train,565659819-5,Dutch,2014,Brynn,Semor,1986-05-09,Oslo,Apogeo
Strangers on a Train,565659819-5,Dutch,2014,Inesita,Dallender,1982-04-05,New York,Apogeo
Strangers on a Train,565659819-5,Dutch,2014,Marnie,Spinke,1987-09-07,Los Angeles,Apogeo
LA Without a Map,421308038-2,English,2014,Boycie,Shorey,1989-11-20,Amsterdam,Apogeo
LA Without a Map,421308038-2,English,2014,Gertrudis,Corzon,1983-06-21,Oxford,Apogeo
LA Without a Map,421308038-2,English,2014,Ileane,Spurriar,1969-09-03,Los Angeles,Apogeo
Boys of St Vincent The,366292343-2,English,2013,Theo,McLauchlin,1961-03-01,Cardiff,Apogeo
Boys of St Vincent The,366292343-2,English,2013,Russ,Leander,1959-11-16,Oxford,Apogeo
Boys of St Vincent The,366292343-2,English,2013,Jon,Duckett,1978-08-16,Los Angeles,Apogeo
Knack and How to Get It The,657583349-7,English,2015,Cecile,Follacaro,1986-01-08,New York,Apogeo
Knack and How to Get It The,657583349-7,English,2015,Burk,Torr,1984-08-01,Bloomington,Apogeo
Get Smart,387623794-7,English,2010,Merissa,Senechault,1956-02-02,New York,Pearson Italia
Get Smart,387623794-7,English,2010,Xylia,Bendle,1975-01-01,Cumberland,Pearson Italia
Get Smart,387623794-7,English,2010,Jodee,Westwick,1968-01-23,Liverpool,Pearson Italia
Stonewall,660038142-6,Icelandic,2016,Jacquenette,Snookes,1973-08-07,Lawrence,Pearson Italia
Hot Fuzz,867778553-1,Polish,2012,Shamkant,Navathe,1962-11-24,London,Pearson Italia
